Left Hand Side,Right Hand Side,Support,Confidence,Lifts
vgood,big,0.00578368999421631,1.0,3.001736111111111
vgood,big,0.00578368999421631,1.0,4.802777777777778
vgood,big,0.004626951995373048,0.7999999999999999,3.842222222222222
vgood,big,0.003470213996529786,1.0,3.001736111111111
vgood,big,0.00578368999421631,0.6666666666666666,3.2018518518518517
vgood,more,0.00578368999421631,0.6666666666666666,3.2018518518518517
vgood,big,0.014459224985540775,0.38461538461538464,3.694444444444445
high,small,0.008675534991324466,0.5,3.001736111111111
5more,small,0.003470213996529786,1.0,3.001736111111111
good,low,0.013880855986119144,0.34782608695652173,3.1322463768115942
vgood,big,0.01850780798149219,0.4923076923076923,4.433333333333333
vgood,big,0.013880855986119144,0.36923076923076925,3.325
vgood,more,0.01156737998843262,0.3076923076923077,4.433333333333334
vgood,more,0.009253903990746095,0.24615384615384614,3.5466666666666664
high,small,0.012145748987854251,0.7,3.3619444444444446
good,more,0.01735106998264893,0.4347826086956522,3.0312061711079945
vgood,more,0.016194331983805668,0.4307692307692308,3.879166666666667
